point_id,district,Total,Exact_Minus_One,Very_Low,Very_High,Minimum,Maximum,Mean,Exact_Minus_One_Percent
P003,Ahmednagar,206,8,8,0,-1.0,0.8344252705574036,0.0807201682332252,3.8834951456310676
P053,Jalna,280,5,12,0,-1.0,0.7662056088447571,0.005062220779447134,1.7857142857142856
P001,Ahmednagar,197,0,0,0,0.109191857278347,0.7491093277931213,0.32459847799261204,0.0
P002,Ahmednagar,200,0,0,0,-0.014136447571218,0.9076835513114928,0.24833457008469847,0.0
P004,Ahmednagar,209,0,0,0,0.020887728780508,0.7120921015739441,0.22283214610515595,0.0
P005,Akola,197,0,0,0,0.0659630596637725,0.8459069132804871,0.35375019590261625,0.0
P006,Akola,197,0,0,0,0.0356448478996753,0.7395788431167603,0.34406977489136803,0.0
P007,Akola,193,0,0,0,0.0809160321950912,0.8682908415794373,0.3852361568823997,0.0
P008,Akola,194,0,0,0,-0.0146862482652068,0.7911158204078674,0.28642724264777963,0.0
P009,Amravati,197,0,0,0,0.0444603934884071,0.7896520495414734,0.2779976652207108,0.0
P010,Amravati,193,0,0,0,0.053406998515129,0.7542372941970825,0.29429824306711627,0.0
P011,Amravati,193,0,0,0,0.0657942444086074,0.8442259430885315,0.3565745896857637,0.0
P012,Amravati,201,0,0,0,-0.0013430955586954,0.4173847436904907,0.17327907539739626,0.0
P013,Aurangabad,208,0,0,0,0.1255474388599395,0.8072904348373413,0.40009580394969535,0.0
P014,Aurangabad,211,0,0,0,0.0467490591108799,0.9112699627876282,0.24241552065828398,0.0
P015,Aurangabad,208,0,0,0,-0.0397394150495529,0.9040252566337584,0.3055512511457961,0.0
P016,Aurangabad,211,0,0,0,0.1446360200643539,0.8516675233840942,0.4370269872848456,0.0
P017,Bhandara,197,0,0,0,0.0845511481165885,0.6339219212532043,0.2655512373989003,0.0
P018,Bhandara,203,0,0,0,0.1353783160448074,0.8673635125160217,0.49480226364335406,0.0
P019,Bhandara,206,0,0,0,0.1071356236934661,0.8661929965019226,0.3559967811825206,0.0
P020,Bhandara,198,0,0,0,0.1093836724758148,0.834341287612915,0.40233446149663493,0.0
P021,Bid,208,0,0,0,0.0532724522054195,0.9206013679504396,0.38960590856507993,0.0
P022,Bid,202,0,0,0,0.0612201988697052,0.6167181730270386,0.2490301282320282,0.0
P023,Bid,209,0,0,0,0.0669954791665077,0.7697621583938599,0.34893780711450073,0.0
P024,Bid,260,0,0,0,0.0500177666544914,0.9341907501220704,0.4106594915573414,0.0
P025,Buldana,274,0,0,0,0.0076019349507987,0.8493589758872986,0.4197216817317191,0.0
P026,Buldana,278,0,0,0,-0.0231124814599752,0.7462174892425537,0.20715869262332107,0.0
P027,Buldana,182,0,0,0,0.1003039479255676,0.7835226058959961,0.3121083370604357,0.0
P028,Buldana,282,0,0,0,0.0951374173164367,0.8790395259857178,0.40590173072108987,0.0
P029,Chandrapur,200,0,0,0,0.1292439401149749,0.6918783187866211,0.38672398224473,0.0
P030,Chandrapur,201,0,0,0,0.0212962962687015,0.8031864762306213,0.3201719025029472,0.0
P031,Chandrapur,209,0,0,0,0.1361502408981323,0.8433862328529358,0.4140636289946771,0.0
P032,Chandrapur,200,0,0,0,0.1351351290941238,0.8200154900550842,0.36306160166859625,0.0
P033,Dhule,201,0,0,0,0.0822420120239257,0.7928286790847778,0.41210900662253747,0.0
P034,Dhule,218,0,0,0,0.1003460213541984,0.6212560534477234,0.282649255297873,0.0
P035,Dhule,199,0,0,0,0.0873936563730239,0.849272608757019,0.3441070535374646,0.0
P036,Dhule,213,0,0,0,0.0855855867266655,0.7011235952377319,0.34613471194891865,0.0
P037,Garhchiroli,202,0,0,0,0.116666667163372,0.835573136806488,0.3967342821161936,0.0
P038,Garhchiroli,179,0,0,0,0.0281481482088565,0.8500000238418579,0.36910515917496306,0.0
P039,Garhchiroli,185,0,0,0,0.0558035708963871,0.8075442910194397,0.41534010294724155,0.0
P040,Garhchiroli,199,0,0,0,0.1349648982286453,0.8288145065307617,0.36225522747590916,0.0
P041,Gondiya,203,0,0,0,0.126881718635559,0.8241989612579346,0.40062728516867596,0.0
P042,Gondiya,195,0,0,0,0.1445260941982269,0.7236051559448242,0.3421659256403263,0.0
P043,Gondiya,200,0,0,0,0.2061898857355117,0.8006001710891724,0.3836130066215992,0.0
P044,Gondiya,184,0,0,0,0.1651723384857177,0.7572704553604126,0.35267343704143295,0.0
P045,Hingoli,190,0,0,0,-0.0330992974340915,0.8176000118255615,0.33542428340174646,0.0
P046,Hingoli,186,0,0,0,0.0567201003432273,0.8164705634117126,0.3155001495233787,0.0
P047,Hingoli,198,0,0,0,0.0507826395332813,0.6521551609039307,0.39035815525461326,0.0
P048,Hingoli,200,0,0,0,0.0654627531766891,0.7040786147117615,0.2606347148492932,0.0
P049,Jalgaon,221,0,0,0,0.2294673919677734,0.8632778525352478,0.5509446268707379,0.0
P050,Jalgaon,196,0,0,0,-0.0360559225082397,0.2109751552343368,0.10476432281679338,0.0
P051,Jalgaon,208,0,0,2,0.0076156998984515,0.9580938220024108,0.5304404808535205,0.0
P052,Jalgaon,197,0,0,0,0.0781010687351226,0.9021077156066896,0.5114222482830135,0.0
P054,Jalna,275,0,0,0,0.033366609364748,0.675627589225769,0.22864117444916202,0.0
P055,Jalna,283,0,0,0,0.062176164239645,0.8507583141326904,0.44032629546396723,0.0
P056,Jalna,269,0,0,0,0.0882524847984314,0.7019641399383545,0.36321621742722715,0.0
P057,Kolhapur,177,0,0,0,0.0840630456805229,0.9046832919120787,0.3069835910100047,0.0
P058,Kolhapur,175,0,0,0,0.0957775488495826,0.9151712656021118,0.47591214703662055,0.0
P059,Kolhapur,183,0,0,0,0.1479820609092712,0.8464636206626892,0.5056633757926076,0.0
P060,Kolhapur,182,0,0,0,0.063539445400238,0.7987805008888245,0.3437399551436141,0.0
P061,Latur,200,0,0,0,0.1066008731722831,0.6833137273788452,0.34968864496797325,0.0
P062,Latur,181,0,0,0,0.0006153846043162,0.779485821723938,0.3687504937686412,0.0
P063,Latur,194,0,0,0,-0.0601307190954685,0.7084112167358398,0.2878577280597588,0.0
P064,Latur,182,0,0,0,0.0877192988991737,0.7904462814331055,0.2800941675655789,0.0
P065,Latur,180,0,0,0,0.1293588280677795,0.8210645318031311,0.4160563350551658,0.0
P066,Latur,183,0,0,0,0.0419507063925266,0.8249421715736389,0.3513511954068812,0.0
P067,Latur,183,0,0,0,0.0509190075099468,0.8980733156204224,0.30369420561308413,0.0
P068,Latur,176,0,0,0,0.1083223223686218,0.7945535778999329,0.3437370663847435,0.0
P069,Latur,191,0,0,0,0.0495522394776344,0.8770753145217896,0.29233361948379044,0.0
P070,Latur,182,0,0,0,-0.052881758660078,0.8861628770828247,0.5327207260243185,0.0
P071,Latur,177,0,0,0,0.070483960211277,0.9274516701698304,0.38790698947206054,0.0
P072,Latur,178,0,0,0,-0.0044977511279284,0.8487721085548401,0.4068183714152429,0.0
P073,Latur,182,0,0,0,0.0936967656016349,0.7692307829856873,0.2971760659673056,0.0
P074,Latur,185,0,0,0,0.0443293042480945,0.903385043144226,0.42804936700173324,0.0
P075,Latur,185,0,0,0,0.0570570565760135,0.794376015663147,0.26750514722756435,0.0
P076,Latur,181,0,0,0,0.0237885471433401,0.5815179944038391,0.21863428572223656,0.0
P077,Latur,197,0,0,0,-0.0469798669219017,0.8716133236885071,0.338574116151345,0.0
P078,Latur,181,0,0,0,0.151395097374916,0.7920970916748047,0.4539997868281043,0.0
P079,Latur,194,0,0,0,0.0500641837716102,0.8326176404953003,0.35556819347530294,0.0
P080,Latur,174,0,0,0,0.0206677261739969,0.8642407059669495,0.3231925664298322,0.0
P081,Latur,181,0,0,0,0.0756218880414962,0.6971659660339355,0.3745136692379061,0.0
P082,Latur,184,0,0,0,0.106263980269432,0.6766971945762634,0.26171925275222113,0.0
P083,Latur,182,0,0,0,0.0662308111786842,0.7511584758758545,0.3085516674832983,0.0
P084,Latur,184,0,0,0,0.0070257610641419,0.6617773771286011,0.18722385911868233,0.0
P085,Latur,182,0,0,0,0.0504821315407753,0.8106080293655396,0.31508260183445697,0.0
P086,Nagpur,197,0,0,0,0.0087560871616005,0.7883808016777039,0.3976346517341013,0.0
P087,Nagpur,205,0,0,0,0.0858496129512786,0.7920311093330383,0.42760422058948655,0.0
P088,Nagpur,199,0,0,0,0.1784664541482925,0.8146053552627563,0.5438016977292209,0.0
P089,Nagpur,282,0,0,0,0.0749130100011825,0.808049201965332,0.3311842143641296,0.0
P090,Nanded,197,0,0,0,0.0965948551893234,0.8552971482276917,0.42180091127526337,0.0
P091,Nanded,182,0,0,0,0.0009337068186141,0.8552437424659729,0.3456244501032595,0.0
P092,Nanded,201,0,0,0,0.043793361634016,0.8636630773544312,0.43989122985162543,0.0
P093,Nanded,203,0,0,0,0.073980376124382,0.8146150708198547,0.34527733364128715,0.0
P094,Nandurbar,291,0,0,0,0.2698356211185455,0.8631029725074768,0.5684273867672661,0.0
P095,Nandurbar,201,0,0,0,0.0849619805812835,0.889132022857666,0.3920065515225206,0.0
P096,Nandurbar,208,0,0,0,0.0878025665879249,0.6217733025550842,0.21531724603846666,0.0
