Year,Exact_Minus_One_Count,Percentage_of_Year_Targets
2018,1,0.05393743257820927
2021,1,0.02249212775528565
2022,4,0.09544261512765449
2023,1,0.021436227224008574
2024,4,0.09530617107457708
2025,2,0.046652670865407045
