,Current_NDVI,NDVI_next_week
count,20.0,20.0
mean,-0.5224059629254043,-0.9579685032367706
std,0.33617804270129864,0.062256903782528364
min,-1.0,-1.0
25%,-0.7976454496383667,-1.0
50%,-0.5287610590457916,-1.0
75%,-0.28332964330911636,-0.9156284779310228
max,0.1309904158115387,-0.8345323801040649
