Condition,Samples,Rainfall_Min_CHIRPS,Rainfall_Max_CHIRPS,CHIRPS_MAE,GSMaP_MAE,GSMaP_minus_CHIRPS_MAE,CHIRPS_RMSE,GSMaP_RMSE,GSMaP_minus_CHIRPS_RMSE,CHIRPS_R2,GSMaP_R2,GSMaP_minus_CHIRPS_R2
Low_Rainfall,5415,0.0,0.0,0.041957483682646506,0.04191020413413912,-4.727954850738264e-05,0.06652040102791902,0.06642568713093955,-9.471389697947308e-05,0.896936545819074,0.8972298270330127,0.0002932812139386787
Normal_Rainfall,241,1.6807712199806701e-07,0.3269776999950409,0.04467699748088087,0.044436145826711355,-0.00024085165416951743,0.07058716591701049,0.07067851465634276,9.134873933226706e-05,0.8907243444124334,0.8904413283043469,-0.0002830161080865645
High_Rainfall,2828,0.3281036354601383,219.98424863815308,0.04527011503043803,0.045195654009436155,-7.446102100187174e-05,0.07255613764685816,0.07226801330806706,-0.0002881243387910931,0.8948261271565983,0.8956597708930129,0.000833643736414591
