Metric,CHIRPS,GSMaP,GSMaP_minus_CHIRPS
MAE,0.043138945761492443,0.043077107033154906,-6.183872833753767e-05
RMSE,0.06870671369197726,0.06854949366690304,-0.00015722002507422006
R2,0.8960145325793286,0.8964898832940907,0.00047535071476212387
