Location,Samples,CHIRPS_MAE,GSMaP_MAE,GSMaP_minus_CHIRPS_MAE,CHIRPS_RMSE,GSMaP_RMSE,GSMaP_minus_CHIRPS_RMSE,CHIRPS_R2,GSMaP_R2,GSMaP_minus_CHIRPS_R2
Latur,1119,0.04016057602179017,0.040013305749944675,-0.00014727027184549546,0.062292060193552275,0.06211725297155404,-0.00017480722199823134,0.8934840149781821,0.8940809975633648,0.0005969825851827038
Satara,1306,0.04742167728909706,0.04705239796522888,-0.0003692793238681824,0.0692165382119592,0.06890277725787888,-0.000313760954080311,0.8825498039044238,0.8836122020670492,0.001062398162625322
Kavathe-Khanapur,49,0.05551999808514699,0.05541249603277181,-0.00010750205237517602,0.07278478682069722,0.07359676269418595,0.0008119758734887322,0.8207391829491197,0.8167172612800182,-0.004021921669101536
