Dataset_Version,Validation_Samples,Test_Samples,Validation_MAE,Validation_RMSE,Validation_R2,Test_MAE,Test_RMSE,Test_R2
Original,4665,8484,0.04710386094516075,0.07018442979254895,0.8924412578993979,0.04313894576149244,0.06870671369197726,0.8960145325793286
Audit_Filtered,4664,8470,0.0472008984189975,0.06997165257050841,0.8921684395319424,0.04242250084584853,0.06496807900053415,0.9021557275041575
