Metric,Original,Filtered,Filtered_Minus_Original
Validation_MAE,0.04710386094516075,0.0472008984189975,9.703747383674882e-05
Validation_RMSE,0.07018442979254895,0.06997165257050841,-0.00021277722204053606
Validation_R2,0.8924412578993979,0.8921684395319424,-0.00027281836745551846
Test_MAE,0.04313894576149244,0.04242250084584853,-0.0007164449156439046
Test_RMSE,0.06870671369197726,0.06496807900053415,-0.003738634691443102
Test_R2,0.8960145325793286,0.9021557275041575,0.006141194924828897
