Dataset_Version,Location,Samples,MAE,RMSE,R2
Original,Latur,1119,0.04016057602179017,0.062292060193552275,0.8934840149781821
Original,Kavathe-Khanapur,49,0.05551999808514697,0.07278478682069721,0.8207391829491197
Audit_Filtered,Latur,1119,0.04021110814103105,0.06239376859251381,0.8931358995165044
Audit_Filtered,Kavathe-Khanapur,49,0.05582167654191456,0.07296531583183931,0.8198488344816953
