Year,records,points,weeks,ndvi_available,ndvi_mean,rainfall_mean,temperature_mean,ndvi_coverage_pct
2021,8684,167,52,5748,0.36448547605186293,22.25395716638163,25.776609684816428,66.1906955320129
2022,8684,167,52,5436,0.36967640677616037,25.166755013076813,25.80822814606427,62.597881160755406
2023,8684,167,52,5837,0.38649875791773713,18.972014343859357,25.932102401454628,67.21556886227546
2024,8684,167,52,5382,0.36440181330502697,22.238227421682776,26.18874359333976,61.97604790419161
2025,8684,167,52,5394,0.38343337685761375,23.872322988621978,25.46563416561325,62.11423307231691
