Metric,Value
Rows,78156
Columns,25
Unique points,167
Unique weeks,468
Minimum date,2017-01-01
Maximum date,2025-12-24
Years,"2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Districts,31
