variable,count,mean,std,min,25%,50%,75%,max
NDVI,45181.0,0.3657123306180217,0.21464155961560652,-1.0,0.1885255575180053,0.3255240321159363,0.5290009379386902,0.969539225101471
Rainfall_mm,78156.0,21.71822438568183,41.899257671117184,0.0,0.0,1.915247096127132,27.620584011077884,789.5917358398438
Temperature_C,78156.0,25.991576490589367,3.6301712610360726,15.344437353951603,23.501728652772442,25.312867055620472,27.806747236705974,38.939721134730746
