Week_Start,NDVI_mean,NDVI_median,Rainfall_mean,Rainfall_median,Temperature_mean,Temperature_median,NDVI_available
2017-01-01,0.39649997495206785,0.3555675148963928,0.3072656228870689,0.0,21.029928170196843,20.95262525649304,81
2017-01-08,0.46012996236483256,0.4780592918395996,0.34688100629224033,0.0,20.287139815131205,20.37011762346544,15
2017-01-15,0.32610823065042494,0.307540699839592,0.5172719712742788,0.0,22.632205127534434,22.50984417143325,10
2017-01-22,0.42072126269340515,0.4048585891723633,1.0437862994428166,0.0,23.81574832762891,23.720955421811084,23
2017-01-29,0.3764157637401863,0.3389022499322891,0.17972277310080156,0.0,24.035846098134915,23.99864176795603,108
2017-02-05,0.3237114623188972,0.3047210276126861,0.253248278966207,0.0,24.601649340435706,24.55623361496697,81
2017-02-12,0.2958835010416806,0.24208559840917585,0.5711927728024785,0.0,25.403440297945043,25.394097446260048,80
2017-02-19,0.3623071572054987,0.3181019425392151,0.2868607101326217,0.0,26.278817914903506,26.254261906941792,23
2017-02-26,0.3038262701790097,0.2882096171379089,0.4420379400253296,0.0,26.790379879975703,26.80453425816125,71
2017-03-05,0.2426414481597021,0.2040606811642646,0.5321548927329971,0.0,25.776264790887694,26.07323572067986,64
2017-03-12,0.34207981541043236,0.2816708981990814,1.7865756443160736,0.0,26.170373404083836,26.176171239217183,21
2017-03-19,0.2725363839198561,0.2116316705942154,0.4473940212569551,0.0,29.106128069679407,29.12706881931853,85
2017-03-26,0.22321971857713324,0.1918857544660568,0.5681039887274096,0.0,31.880978863892636,32.21853644961402,72
2017-04-02,0.28955440482367634,0.2363125830888748,0.7028774458491159,0.0,31.13030876831892,31.772036125546435,23
2017-04-09,0.2541273486006128,0.1750351935625076,0.48184717915015307,0.0,31.882993831150504,32.10523085821245,85
2017-04-16,0.19923990002522862,0.17070075869560242,1.2367214271408355,0.0,32.590395893219856,33.06988459995813,72
2017-04-23,0.2651633393505345,0.2357259392738342,1.2340873544087667,0.0,31.402153593595827,31.854744575137204,23
2017-04-30,0.26618765742529793,0.1704940795898437,5.617307049785546,2.914767503738404,32.5339475449518,32.85701513744539,79
2017-05-07,0.18521403905845454,0.14919663965702057,3.719811209839975,0.0,32.88851680576141,33.36986222040082,62
2017-05-14,0.24367369495332236,0.17384456098079676,1.137888068924407,0.0,33.40390630340796,33.91254005432131,100
2017-05-21,0.7130166888237,0.7130166888237,2.227238091879976,0.0,33.41108293024811,33.80878591991609,2
2017-05-28,0.31815338879823685,0.31815338879823685,23.74423397943645,20.86713004112244,31.104048970475123,31.230860010782862,2
2017-06-04,,,60.009811245752665,57.92832946777344,28.31369559900152,27.85730460030692,0
2017-06-11,,,65.64081358624075,60.918315410614014,26.678704052444626,26.47585639953616,0
2017-06-18,,,23.648389479357327,21.989839553833008,27.47054648778704,27.02533284141901,0
2017-06-25,,,45.61152702605653,22.086892127990723,25.757671719288147,25.767796906970773,0
2017-07-02,0.4998119831085205,0.5468347370624542,13.020112474521477,10.710680961608888,26.15457258754762,26.314266731625537,10
2017-07-09,,,43.36912592727981,36.01907563209534,25.745397197156706,25.90764134724941,0
2017-07-16,,,95.90052173380366,69.75209426879883,24.658797957042655,24.83782139732721,0
2017-07-23,,,16.153170313663825,0.0,24.969792615718124,25.02672938392272,0
2017-07-30,,,2.6659806945366773,0.0,25.940679526567006,25.90638594854454,0
