district,records,points,ndvi_available,ndvi_mean,rainfall_mean,temperature_mean,ndvi_coverage_percent
Nagpur,1872,4,1156,0.43425227630002083,25.980913293517578,26.424383146063235,61.75213675213676
Nandurbar,1872,4,1173,0.43414927272083204,17.841690900578303,26.3254000893928,62.66025641025641
Jalgaon,1872,4,1084,0.4287531644065531,17.70359837504281,26.36870901040253,57.90598290598291
Kolhapur,1872,4,970,0.4225787721804737,23.41136499224329,24.75407857169067,51.81623931623932
Garhchiroli,1872,4,1061,0.4037964802400387,29.819392476502937,27.675578660076134,56.677350427350426
Nanded,1872,4,1079,0.4018810393083845,22.251904103612794,26.937110137473702,57.638888888888886
Bhandara,1872,4,1104,0.3999185519481915,26.698677611724133,26.746334813870618,58.97435897435898
Satara,12168,26,6633,0.39761188328542657,20.753212095127537,24.727858786452945,54.51183431952663
Pune,1872,4,1069,0.397471702086998,14.89096164792117,26.20259002682444,57.10470085470085
Wardha,1872,4,1232,0.39654753874842225,24.476669118620116,26.951474042340536,65.8119658119658
Parbhani,1872,4,1071,0.39540282470964583,19.725995910824306,26.747815456708683,57.21153846153846
Chandrapur,1872,4,1088,0.3925099027521141,26.63169421104094,27.180809207771894,58.119658119658126
Gondiya,1872,4,1096,0.39021240773841903,27.961773919461447,26.359679831573548,58.54700854700855
Yavatmal,1872,4,1060,0.376533843981067,25.55298473226446,27.172678161142922,56.623931623931625
Bid,1872,4,1112,0.3669466939654282,15.495025835296012,25.629573659466033,59.401709401709404
Latur,11700,25,6506,0.3640695872071705,19.987943972381178,25.78403811782759,55.60683760683761
Solapur,1872,4,1051,0.36327759306399343,15.402518330958756,26.81266037300929,56.14316239316239
Aurangabad,1872,4,1084,0.36299688902054655,14.600280158332462,25.707822853712543,57.90598290598291
Akola,1872,4,1084,0.3625789254910667,16.636531190918628,26.831758048585844,57.90598290598291
Buldana,1872,4,1258,0.3593499665640869,17.040199736482627,26.411351463277526,67.2008547008547
Raigarh,1872,4,1218,0.35931024742113926,52.94406341677473,26.124569751675867,65.06410256410257
Dhule,1872,4,1104,0.35878750764886325,16.607039288601097,26.43387528040278,58.97435897435898
Hingoli,1872,4,1081,0.34921081171557994,21.497414763652248,26.524167484784954,57.74572649572649
Washim,1872,4,1095,0.3150746075187695,20.074521232021254,26.341543198873925,58.493589743589745
Thane,1872,4,1025,0.3082950432525902,50.687432252924424,26.66081854215134,54.75427350427351
Nashik,1872,4,1069,0.30290960307408143,16.149921520584087,24.242087715934556,57.10470085470085
Sangli,1872,4,1056,0.29683163785816624,14.946130864677205,25.66663784187018,56.41025641025641
Amravati,1872,4,1099,0.29682568349022576,22.42865525536283,26.444904795185963,58.70726495726496
Jalna,1872,4,1329,0.2739686434042617,17.622420801798395,26.203611427931293,70.99358974358975
Osmanabad,1872,4,1080,0.25521465373328983,17.405956448712075,25.716573648138382,57.692307692307686
Ahmednagar,1872,4,1054,0.22115469273962643,14.429607266053988,25.6684008934074,56.3034188034188
