,count,mean,std,min,25%,50%,75%,max
NDVI,13692.0,0.334338431045173,0.19726386967876255,-1.0,0.18356684967875475,0.28605179488658905,0.4680304899811744,0.9608883261680604
Rainfall_mm,13692.0,2.5235207267792887,7.277116536641405,0.0,0.0,0.0,1.24855163320899,108.10131978988647
Temperature_C,13692.0,26.843062443807067,3.926685165711037,16.545120947701605,23.689747814905104,26.56535201299758,29.975098001389284,36.52779005141485
NDVI_lag_1,13692.0,0.3466741230883036,0.20041772739548708,-1.0,0.19098249077796936,0.30220136046409607,0.4874656796455383,0.9608883261680604
NDVI_lag_2,13692.0,0.3594613532156557,0.20587463078552304,-1.0,0.1995303183794021,0.31787829101085663,0.5075204521417618,0.9629963636398317
NDVI_lag_3,13692.0,0.37169723379846203,0.20818027478176435,-1.0,0.20850685983896255,0.333640456199646,0.5250927358865738,0.969539225101471
Rainfall_mm_lag_1,13692.0,2.346428340877858,7.116161286644135,0.0,0.0,0.0,1.0238098457921294,153.02176666259766
Rainfall_mm_lag_2,13692.0,2.174532894554669,7.293317390496736,0.0,0.0,0.0,0.5717777390964329,206.28686714172363
Rainfall_mm_lag_3,13692.0,2.6024914290876233,9.270660800522412,0.0,0.0,0.0,0.34844019543379545,206.28686714172363
Temperature_C_lag_1,13692.0,26.514436209923726,3.8567213936238054,15.344437353951603,23.45583087376191,26.039318293616905,29.40459746860327,37.07082356044225
Temperature_C_lag_2,13692.0,26.11757718293436,3.80058245756224,15.344437353951603,23.19589465459194,25.610347865876687,28.774281869615876,37.09497440883092
Temperature_C_lag_3,13692.0,25.70200080416127,3.6885690625669207,15.344437353951603,22.895079549153657,25.142423566182515,28.15594153631301,36.38349531264538
NDVI_rolling_3w,13692.0,0.34682463578304407,0.19593872628768752,-0.9197478691736857,0.19355621188879008,0.30499325692653656,0.48640895883242286,0.9143077731132507
Rainfall_mm_rolling_3w,13692.0,2.348160654070605,5.23317427546937,0.0,0.0,0.46178847054640454,2.549056679010389,142.50259145100912
Rainfall_mm_rolling_4w,13692.0,2.4117433478248596,5.116732038855213,0.0,0.0,0.7583044767379761,2.6468343175947666,121.69167137145996
Temperature_C_rolling_3w,13692.0,26.49169194555505,3.7556916966426726,17.61082408238974,23.419159613715273,25.99025073581275,29.426454397231858,36.065307235717775
Temperature_C_rolling_4w,13692.0,26.294269160206607,3.6754178723028725,17.476158850533636,23.32899888810659,25.72954339526951,29.119703620956063,35.93957603999547
Month,13692.0,4.248393222319603,3.3198518940700414,1.0,2.0,3.0,5.0,12.0
Quarter,13692.0,1.7903885480572597,1.080852911391473,1.0,1.0,1.0,2.0,4.0
Week_of_Year,13692.0,17.115687992988608,14.384102314793992,1.0,7.0,12.0,19.0,51.0
Monsoon_Season,13692.0,0.02271399357288928,0.14899560205230125,0.0,0.0,0.0,0.0,1.0
Week_Sin,13692.0,0.5426802789350554,0.5428521222116357,-0.992708874098054,0.35460488704253584,0.7485107481711013,0.9350162426854148,1.0
Week_Cos,13692.0,0.2861300099714453,0.5735720145325673,-1.0,-0.15023142626338154,0.4647231720437686,0.7485107481711011,0.992708874098054
latitude,13692.0,19.252775987321154,1.3905329509075648,16.324416687682138,18.10355787609756,19.120950831552832,20.511160307884595,21.57454889070615
longitude,13692.0,76.03806669852615,1.9217939107144508,72.8545320606096,74.37533522949364,76.00172991132328,77.14910120338544,80.34153217518526
NDVI_next_week,13692.0,0.3233122857669081,0.19412874174380026,-1.0,0.1765672750771045,0.2732558101415634,0.45000965893268585,0.9608883261680604
