Year,usable_training_rows,percentage
2017,640,1.9016490863170408
2018,1854,5.508839696924677
2019,4706,13.983063437824988
2020,4669,13.873124350022284
2021,4446,13.21051849650869
2022,4191,12.452830188679245
2023,4665,13.861239043232803
2024,4197,12.470658148863468
2025,4287,12.7380775516268
