Week_Start,Year,Week_Number,point_id,district,Latitude,Longitude,NDVI,Rainfall_Current,Temperature_Current,NDVI_lag_1,NDVI_lag_2,NDVI_lag_3,NDVI_lag_4,NDVI_lag_8,NDVI_change_1w,NDVI_change_2w,NDVI_change_4w,Rainfall_lag_1,Rainfall_lag_2,Rainfall_lag_4,Rainfall_rolling_2w,Rainfall_rolling_4w,Rainfall_rolling_8w,Temperature_lag_1,Temperature_lag_2,Temperature_lag_4,Temperature_rolling_2w,Temperature_rolling_4w,Temperature_rolling_8w,Week_Of_Year,Month,Day_Of_Year,Year_Index,Week_Sin,Week_Cos,Month_Sin,Month_Cos,Latitude,Longitude,NDVI_next_week
2021-05-28,2021,22.0,P157,Wardha,20.710313,78.88671,0.158497005701065,13.044646330177784,33.4061280023484,0.1890695393085479,0.2114695310592651,0.1896138042211532,0.1957558840513229,0.2149833291769027,-0.030572533607482882,-0.0529725253582001,-0.0372588783502579,0.0,11.64428561925888,3.4771216437220573,11.64428561925888,22.300522424280643,23.47488271445036,34.45804112752279,33.03515732174833,33.21079479399185,33.74659922463556,33.47559148243499,32.881736566906895,21,5,148,4,0.5680647467311558,-0.8229838658936564,0.49999999999999994,-0.8660254037844387,20.710313,78.88671,0.2062376141548156
2021-05-28,2021,22.0,P159,Wardha,20.439855,78.879861,0.1055079698562622,13.132341153919697,33.42176462809249,0.1017156839370727,0.1619476526975631,0.1843278706073761,0.2165583074092865,0.2098206579685211,0.0037922859191894948,-0.056439682841300895,-0.1110503375530243,0.4363460391759872,5.692341320216656,2.982649877667427,6.128687359392643,14.029317572712898,18.752980403602123,34.69677578154068,33.20535821460544,33.65314272925974,33.95106699807306,33.78697831744243,33.24457894506912,21,5,148,4,0.5680647467311558,-0.8229838658936564,0.49999999999999994,-0.8660254037844387,20.439855,78.879861,0.1142902597784996
2021-06-04,2021,23.0,P019,Bhandara,21.409009,79.771449,0.1845629960298538,47.99214893579483,29.462200691586474,0.1884681582450866,0.1869281083345413,,0.1856902837753296,0.240234375,-0.0039051622152327936,-0.0023651123046875,-0.0011272877454757968,4.347767822444439,0.0,20.25585477799177,4.347767822444439,66.9546437188983,74.02146672457457,32.896455383300804,32.55170974731448,31.966555350167425,32.72408256530764,32.39155996867591,32.01300731613526,22,6,155,4,0.46472317204376906,-0.8854560256532096,1.2246467991473532e-16,-1.0,21.409009,79.771449,0.2424408942461013
2021-06-04,2021,23.0,P023,Bid,19.126596,75.617561,0.1330612301826477,30.157578393816948,26.603220966884063,0.1156700104475021,0.1512915194034576,0.1512272357940673,0.1269393563270568,0.1832498162984848,0.01739121973514561,-0.01823028922080991,0.006121873855590904,33.6213678047061,0.0,0.1596776098012924,33.6213678047061,39.2964031547308,45.907932333648205,29.23471803211032,31.331239137195382,32.28126424153652,30.282978584652852,30.730121980394657,31.042466951551923,22,6,155,4,0.46472317204376906,-0.8854560256532096,1.2246467991473532e-16,-1.0,19.126596,75.617561,0.1744292229413986
2021-06-04,2021,23.0,P024,Bid,18.763955,75.900847,0.6333082318305969,27.633559487760067,25.27951374962214,0.6366581916809082,0.5316779017448425,0.5421552062034607,0.6602628827095032,0.366349995136261,-0.0033499598503112793,0.1016303300857544,-0.02695465087890625,28.125612407922745,0.1498418897390365,4.9748125821352005,28.27545429766178,35.65532274544239,46.1569759696722,27.96732591901508,29.767274293445382,30.14976545061387,28.867300106230235,28.991994771503276,29.261081802277353,22,6,155,4,0.46472317204376906,-0.8854560256532096,1.2246467991473532e-16,-1.0,18.763955,75.900847,0.6369380950927734
2021-06-04,2021,23.0,P025,Buldana,20.930735,76.201645,0.0781671181321144,46.10860718041658,29.784977849324605,0.0907247811555862,0.1048695296049118,0.112682968378067,0.1883316487073898,0.5438730716705322,-0.012557663023471805,-0.026702411472797408,-0.11016453057527541,19.665533684194088,0.0,0.0,19.665533684194088,22.10412608832121,37.6826251372695,32.10277746291388,32.85525792439785,32.684735688709054,32.47901769365586,32.47439630145119,31.97219078200206,22,6,155,4,0.46472317204376906,-0.8854560256532096,1.2246467991473532e-16,-1.0,20.930735,76.201645,0.0573394484817981
2021-06-04,2021,23.0,P028,Buldana,20.47967,76.10222,0.171875,66.2355084195733,27.650072715395936,0.1273846179246902,0.1501501500606537,0.1293509155511856,0.1286539286375045,0.2589040994644165,0.04449038207530981,0.021724849939346313,0.043221071362495506,24.41884033381939,0.0,0.0,24.41884033381939,27.107202544808388,44.13053632527587,30.25013376871744,30.84938692365376,31.79305274600074,30.5497603461856,30.83642487753005,30.72659112612409,22,6,155,4,0.46472317204376906,-0.8854560256532096,1.2246467991473532e-16,-1.0,20.47967,76.10222,0.2701663076877594
2021-06-04,2021,23.0,P029,Chandrapur,20.323178,79.928294,0.2116875350475311,38.46808398514986,29.898386982509063,0.2104121446609497,0.2578397095203399,0.1946308761835098,0.2450219094753265,0.2575941681861877,0.0012753903865813931,-0.04615217447280881,-0.03333437442779541,1.759527966380119,0.0,5.452204369008541,1.759527966380119,8.61616388708353,28.722418248653412,33.26124798002701,33.84207433064785,32.95585966564363,33.55166115533743,33.215950198400634,32.52114824340461,22,6,155,4,0.46472317204376906,-0.8854560256532096,1.2246467991473532e-16,-1.0,20.323178,79.928294,0.2614278495311737
2021-06-04,2021,23.0,P030,Chandrapur,20.608721,79.36304,0.1490825712680816,30.91041748225689,29.71382829575316,0.1217204332351684,0.1260377317667007,0.1202691346406936,0.1300359517335891,0.1554639190435409,0.027362138032913208,0.02304483950138092,0.01904661953449252,5.347825109958649,0.0,5.630876287817955,5.347825109958649,26.905764997005463,37.09522616118193,33.17920510428297,33.827716536748994,32.807015264601944,33.50346082051598,33.10733668463574,32.60590282394776,22,6,155,4,0.46472317204376906,-0.8854560256532096,1.2246467991473532e-16,-1.0,20.608721,79.36304,0.195636361837387
2021-06-04,2021,23.0,P031,Chandrapur,20.51116,79.647326,0.2195676863193512,31.96671310812235,29.673800858997254,0.1562638282775879,0.1818965524435043,0.1789077222347259,0.1718061417341232,0.2114832550287246,0.0633038580417633,0.03767113387584689,0.047761544585227994,1.931972034275532,0.0,4.856744721531868,1.931972034275532,12.361924842000008,28.639720633625988,33.2089088803246,33.674047451927606,32.74847964332213,33.4414781661261,33.04678980963571,32.46462242262706,22,6,155,4,0.46472317204376906,-0.8854560256532096,1.2246467991473532e-16,-1.0,20.51116,79.647326,0.2771084308624267
