system:index,ERA5_Days,Temperature_C,Temperature_Valid,Week_End,Week_Number,Week_Start,Year,dataset,district,latitude,longitude,point_id,region_type,sampling_priority,study_area,temperature_source,.geo
0_00000000000000000092,7,22.39545847574874,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Satara,17.927231643141155,73.94769852026607,P147,case_study,case_study,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003c,7,22.644784182593924,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.507855650411397,76.91766048140843,P061,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003d,7,22.341526649111756,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.422405896924207,76.3487594508077,P062,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003e,7,22.00825144449874,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.235391198742693,77.05646783810116,P063,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003f,7,22.07178613571898,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.193056493341274,76.77240080549139,P064,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000040,7,22.12775246756422,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.331355512513895,76.44266811899327,P065,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000041,7,21.977338591076148,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.104739537876725,76.5352970251765,P066,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000042,7,22.00825144449874,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.280552974211986,77.0569984711265,P067,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000043,7,22.112522742861813,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.101823285787773,76.86595720469373,P068,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000044,7,22.85618671235585,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.595075667016793,77.20284228928156,P069,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000045,7,22.68155641101663,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.41499041187233,77.15322587185987,P070,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000046,7,21.994905090332054,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.149138807065885,76.63019561379593,P071,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000047,7,22.1011527651832,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.283393421583035,76.77331492120734,P072,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000048,7,22.205063665480907,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,17.966315663874607,76.86453029235662,P073,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000049,7,22.532967776343924,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.50832831512306,76.870318205524,P074,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004a,7,22.771237400599887,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.41444640154381,77.20053247493588,P075,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004b,7,22.16065332321898,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.377877313804504,76.25376722106614,P076,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004c,7,22.079866027832054,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.059564385104267,76.5349046242838,P077,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004d,7,22.122113981701034,1,2024-01-08,1.0,2024-01-01,2024,ERA5-Land Temperature,Latur,18.1008824154655,76.96042326051098,P078,priority,high,Maharashtra,ERA5-Land Daily Aggregated,"{""type"":""MultiPoint"",""coordinates"":[]}"
