Run,MAE,RMSE,R2,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
260,0.047389983022293844,0.07039232844521598,0.8918030982188638,40.0,0.6,2,8,500
322,0.0470748709146584,0.0703930411323892,0.891800907328574,40.0,1.0,4,8,300
319,0.047074870914658395,0.0703930411323892,0.891800907328574,40.0,1.0,4,4,300
316,0.047074870914658395,0.0703930411323892,0.891800907328574,40.0,1.0,4,2,300
261,0.04738956663056968,0.07039350224935957,0.8917994897850094,40.0,0.6,2,8,700
77,0.04710003040295276,0.07039679834710796,0.8917893568097682,,1.0,4,4,500
80,0.04710003040295276,0.07039679834710796,0.8917893568097682,,1.0,4,8,500
74,0.04710003040295276,0.07039679834710796,0.8917893568097682,,1.0,4,2,500
78,0.04709842264910671,0.07039824272956509,0.8917849162908298,,1.0,4,4,700
75,0.04709842264910671,0.07039824272956509,0.8917849162908298,,1.0,4,2,700
81,0.04709842264910671,0.07039824272956509,0.8917849162908298,,1.0,4,8,700
323,0.047101514264273205,0.07039886046181064,0.8917830171456989,40.0,1.0,4,8,500
317,0.047101514264273205,0.07039886046181064,0.8917830171456989,40.0,1.0,4,2,500
320,0.047101514264273205,0.07039886046181064,0.8917830171456989,40.0,1.0,4,4,500
324,0.04710090712756382,0.07040128229787455,0.8917755713348394,40.0,1.0,4,8,700
318,0.04710090712756382,0.07040128229787455,0.8917755713348394,40.0,1.0,4,2,700
321,0.04710090712756382,0.07040128229787455,0.8917755713348394,40.0,1.0,4,4,700
18,0.04738939421974084,0.07040161047414066,0.891774562354022,,0.6,2,8,700
188,0.0473959031376521,0.0704022913263364,0.891772469052955,30.0,0.6,4,8,500
182,0.0473959031376521,0.0704022913263364,0.891772469052955,30.0,0.6,4,2,500
185,0.0473959031376521,0.0704022913263364,0.8917724690529549,30.0,0.6,4,4,500
17,0.04739108248750795,0.07040326602048881,0.8917694722904979,,0.6,2,8,500
254,0.047456971046719115,0.07041256707647835,0.8917408734839285,40.0,0.6,2,2,500
257,0.047456971046719115,0.07041256707647835,0.8917408734839285,40.0,0.6,2,4,500
181,0.04741127328269393,0.07041279149376012,0.8917401834009326,30.0,0.6,4,2,300
187,0.04741127328269393,0.07041279149376012,0.8917401834009326,30.0,0.6,4,8,300
184,0.04741127328269393,0.07041279149376012,0.8917401834009326,30.0,0.6,4,4,300
204,0.04720713064906429,0.07041729100352617,0.8917263469471991,30.0,0.8,2,4,700
201,0.04720713064906429,0.07041729100352617,0.8917263469471991,30.0,0.8,2,2,700
240,0.04712796736171541,0.07041958591249294,0.8917192895264241,30.0,1.0,4,4,700
237,0.04712796736171541,0.07041958591249295,0.8917192895264241,30.0,1.0,4,2,700
243,0.04712796736171541,0.07041958591249295,0.8917192895264241,30.0,1.0,4,8,700
171,0.0475147494257393,0.0704231249698874,0.8917084055862932,30.0,0.6,1,8,700
263,0.04740752039723556,0.07042895041467082,0.8916904889489371,40.0,0.6,4,2,500
269,0.047407520397235565,0.07042895041467082,0.8916904889489371,40.0,0.6,4,8,500
266,0.04740752039723555,0.07042895041467082,0.8916904889489371,40.0,0.6,4,4,500
91,0.04741659110566692,0.07043246624301894,0.8916796750108666,20.0,0.6,2,2,300
94,0.04741659110566693,0.07043246624301894,0.8916796750108666,20.0,0.6,2,4,300
20,0.04741034766272959,0.07043391058134003,0.8916752323778359,,0.6,4,2,500
26,0.0474103476627296,0.07043391058134005,0.8916752323778359,,0.6,4,8,500
23,0.04741034766272959,0.07043391058134005,0.8916752323778359,,0.6,4,4,500
214,0.04727582302872251,0.07043547791151449,0.8916704113317075,30.0,0.8,4,8,300
208,0.04727582302872251,0.07043547791151449,0.8916704113317075,30.0,0.8,4,2,300
211,0.04727582302872251,0.07043547791151449,0.8916704113317075,30.0,0.8,4,4,300
252,0.047494423365649095,0.07043730126664204,0.8916648026278711,40.0,0.6,1,8,700
10,0.047516811678801806,0.07043736014703574,0.8916646215073106,,0.6,2,2,300
13,0.047516811678801806,0.07043736014703574,0.8916646215073106,,0.6,2,4,300
104,0.04738741760221093,0.07044018147568012,0.8916559427088089,20.0,0.6,4,4,500
107,0.04738741760221094,0.07044018147568012,0.8916559427088089,20.0,0.6,4,8,500
101,0.047387417602210935,0.07044018147568012,0.8916559427088089,20.0,0.6,4,2,500
253,0.04751439223203519,0.07044197704328688,0.8916504191126158,40.0,0.6,2,2,300
256,0.04751439223203519,0.07044197704328689,0.8916504191126158,40.0,0.6,2,4,300
170,0.04754060037487357,0.070442234537948,0.8916496269857965,30.0,0.6,1,8,500
9,0.04752861922398279,0.0704434571221908,0.8916458659294031,,0.6,1,8,700
84,0.04759280940117793,0.07044918548580348,0.8916282427989903,20.0,0.6,1,2,700
105,0.04740325653958123,0.07046336811882073,0.8915846042086172,20.0,0.6,4,4,700
102,0.047403256539581225,0.07046336811882073,0.8915846042086172,20.0,0.6,4,2,700
108,0.047403256539581225,0.07046336811882073,0.8915846042086172,20.0,0.6,4,8,700
203,0.047238090285054726,0.0704664659002999,0.8915750714656748,30.0,0.8,2,4,500
200,0.047238090285054726,0.0704664659002999,0.8915750714656747,30.0,0.8,2,2,500
238,0.04713952004470151,0.07046668285259716,0.8915744038268699,30.0,1.0,4,4,300
235,0.04713952004470151,0.07046668285259716,0.8915744038268699,30.0,1.0,4,2,300
241,0.04713952004470151,0.07046668285259716,0.8915744038268699,30.0,1.0,4,8,300
162,0.047158579822873206,0.07047063823525869,0.8915622313577778,20.0,1.0,4,8,700
156,0.047158579822873206,0.07047063823525869,0.8915622313577778,20.0,1.0,4,2,700
159,0.047158579822873206,0.07047063823525869,0.8915622313577778,20.0,1.0,4,4,700
169,0.047527242412858876,0.070472481015792,0.8915565600703641,30.0,0.6,1,8,300
268,0.047472156159673616,0.07047386646451793,0.8915522961562699,40.0,0.6,4,8,300
265,0.047472156159673616,0.07047386646451793,0.8915522961562699,40.0,0.6,4,4,300
