Feature_Group,Test_RMSE,RMSE_Difference_vs_Full,Test_MAE,MAE_Difference_vs_Full,Test_R2
Full_Features,0.06936042621750897,0.0,0.04370942605437121,0.0,0.8940263721279202
NDVI_Temporal,0.06989337565538413,0.0005329494378751576,0.044219213826647404,0.000509787772276192,0.8923915618282918
NDVI_Weather_Temporal,0.06989477354379163,0.0005343473262826581,0.044045487265896875,0.00033606121152566365,0.892387257383382
NDVI_Weather,0.07016515320283699,0.0008047269853280192,0.04416995513211478,0.0004605290777435697,0.891553072709207
NDVI_Rainfall,0.07046402596437311,0.0011035997468641368,0.044414520522963186,0.0007050944685919741,0.890627232423863
NDVI_Temperature,0.0705463148641151,0.0011858886466061258,0.044623525448863256,0.0009140993944920447,0.8903716290903033
NDVI_History,0.07092030817083862,0.0015598819533296504,0.04490712218581006,0.001197696131438851,0.8892061832072357
NDVI_Dynamics,0.07107609411846232,0.0017156679009533438,0.044915521920945695,0.001206095866574483,0.8887189017143329
NDVI_Only,0.07550057387858498,0.006140147661076012,0.04910591458091376,0.0053964885265425505,0.8744332073790467
