Feature_Group,Location,Samples,MAE,RMSE,R2
Full_Features,Latur,1119,0.040556697478208434,0.06307672190003986,0.8907836574787344
Full_Features,Kavathe-Khanapur,49,0.055320301758859505,0.07313074183984562,0.8190310357561589
