Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,Rainfall_mm,Rainfall_Valid,CHIRPS_Days,rainfall_source,study_area,dataset
2017-01-01,2017-01-08,1.0,2017,P011,20.814388,78.217645,Amravati,normal,statewide,4.116341590881348,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P012,21.180503,77.93681,Amravati,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P013,20.03129,74.857052,Aurangabad,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P014,19.760185,75.142702,Aurangabad,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P015,19.940819,74.761574,Aurangabad,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P016,19.669817,75.142622,Aurangabad,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P017,21.046132,79.855762,Bhandara,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P018,21.318971,79.768529,Bhandara,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P019,21.409009,79.771449,Bhandara,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P020,21.144197,79.57075,Bhandara,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P021,18.675023,75.521083,Bid,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P022,18.856499,75.046992,Bid,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P023,19.126596,75.617561,Bid,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P024,18.763955,75.900847,Bid,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P025,20.930735,76.201645,Buldana,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P026,20.83894,76.393114,Buldana,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P027,20.657477,76.487429,Buldana,normal,statewide,2.563437938690185,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P028,20.47967,76.10222,Buldana,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
2017-01-01,2017-01-08,1.0,2017,P029,20.323178,79.928294,Chandrapur,normal,statewide,0.0,1,7,CHIRPS Daily v2.0,Maharashtra,CHIRPS Rainfall
