Model,Validation_Samples,Test_Samples,Validation_MAE,Validation_RMSE,Validation_R2,Test_MAE,Test_RMSE,Test_R2
Original_Training,4665,8484,0.04710386094516076,0.07018442979254895,0.8924412578993979,0.043138945761492443,0.06870671369197726,0.8960145325793286
Cleaned_Training,4664,8484,0.04720089841899751,0.06997165257050841,0.8921684395319424,0.04332728694911616,"(np.float64(0.0700171895990578),)",0.8920099741314782
