Model,Location,Samples,MAE,RMSE,R2
Original_Training,Latur,1119,0.04016057602179017,0.06229206019355228,0.8934840149781821
Cleaned_Training,Latur,1119,0.04021110814103105,0.06239376859251381,0.8931358995165044
Original_Training,Kavathe-Khanapur,49,0.05551999808514699,0.07278478682069724,0.8207391829491197
Cleaned_Training,Kavathe-Khanapur,49,0.05582167654191456,0.07296531583183931,0.8198488344816953
