system:index,GSMaP_Image_Count,Rainfall_GSMaP,Week_End,Week_Number,Week_Start,Year,point_id,.geo
0_00000000000000000092,168,0.0,2020-01-08,1.0,2020-01-01,2020,P147,"{""type"":""Point"",""coordinates"":[73.94769852026607,17.927231643141155]}"
0_0000000000000000003c,168,4.435563459992409,2020-01-08,1.0,2020-01-01,2020,P061,"{""type"":""Point"",""coordinates"":[76.91766048140843,18.507855650411397]}"
0_0000000000000000003d,168,1.8770791366696358,2020-01-08,1.0,2020-01-01,2020,P062,"{""type"":""Point"",""coordinates"":[76.3487594508077,18.422405896924207]}"
0_0000000000000000003e,168,3.7664033323526382,2020-01-08,1.0,2020-01-01,2020,P063,"{""type"":""Point"",""coordinates"":[77.05646783810116,18.235391198742693]}"
0_0000000000000000003f,168,3.433631755411625,2020-01-08,1.0,2020-01-01,2020,P064,"{""type"":""Point"",""coordinates"":[76.77240080549139,18.193056493341274]}"
0_00000000000000000040,168,2.1185599491000175,2020-01-08,1.0,2020-01-01,2020,P065,"{""type"":""Point"",""coordinates"":[76.44266811899327,18.331355512513895]}"
0_00000000000000000041,168,1.7024910748004913,2020-01-08,1.0,2020-01-01,2020,P066,"{""type"":""Point"",""coordinates"":[76.5352970251765,18.104739537876725]}"
0_00000000000000000042,168,3.773626372218132,2020-01-08,1.0,2020-01-01,2020,P067,"{""type"":""Point"",""coordinates"":[77.0569984711265,18.280552974211986]}"
0_00000000000000000043,168,3.536573328077793,2020-01-08,1.0,2020-01-01,2020,P068,"{""type"":""Point"",""coordinates"":[76.86595720469373,18.101823285787773]}"
0_00000000000000000044,168,5.136727899312973,2020-01-08,1.0,2020-01-01,2020,P069,"{""type"":""Point"",""coordinates"":[77.20284228928156,18.595075667016793]}"
0_00000000000000000045,168,3.996762052178383,2020-01-08,1.0,2020-01-01,2020,P070,"{""type"":""Point"",""coordinates"":[77.15322587185987,18.41499041187233]}"
0_00000000000000000046,168,3.1505851075053215,2020-01-08,1.0,2020-01-01,2020,P071,"{""type"":""Point"",""coordinates"":[76.63019561379593,18.149138807065885]}"
0_00000000000000000047,168,3.4533751532435417,2020-01-08,1.0,2020-01-01,2020,P072,"{""type"":""Point"",""coordinates"":[76.77331492120734,18.283393421583035]}"
0_00000000000000000048,168,3.5514460802078247,2020-01-08,1.0,2020-01-01,2020,P073,"{""type"":""Point"",""coordinates"":[76.86453029235662,17.966315663874607]}"
0_00000000000000000049,168,4.111269220709801,2020-01-08,1.0,2020-01-01,2020,P074,"{""type"":""Point"",""coordinates"":[76.870318205524,18.50832831512306]}"
0_0000000000000000004a,168,4.086496502161026,2020-01-08,1.0,2020-01-01,2020,P075,"{""type"":""Point"",""coordinates"":[77.20053247493588,18.41444640154381]}"
0_0000000000000000004b,168,0.681181900203228,2020-01-08,1.0,2020-01-01,2020,P076,"{""type"":""Point"",""coordinates"":[76.25376722106614,18.377877313804504]}"
0_0000000000000000004c,168,1.7024910748004913,2020-01-08,1.0,2020-01-01,2020,P077,"{""type"":""Point"",""coordinates"":[76.5349046242838,18.059564385104267]}"
0_0000000000000000004d,168,3.6428393721580505,2020-01-08,1.0,2020-01-01,2020,P078,"{""type"":""Point"",""coordinates"":[76.96042326051098,18.1008824154655]}"
0_0000000000000000004e,168,4.442440465092659,2020-01-08,1.0,2020-01-01,2020,P079,"{""type"":""Point"",""coordinates"":[76.77797468180819,18.73508698099394]}"
0_0000000000000000004f,168,1.8770791366696358,2020-01-08,1.0,2020-01-01,2020,P080,"{""type"":""Point"",""coordinates"":[76.3017694439065,18.46791548227568]}"
0_00000000000000000050,168,3.1505851075053215,2020-01-08,1.0,2020-01-01,2020,P081,"{""type"":""Point"",""coordinates"":[76.67701617485712,18.10355787609756]}"
0_00000000000000000051,168,3.1613216623663902,2020-01-08,1.0,2020-01-01,2020,P082,"{""type"":""Point"",""coordinates"":[76.67830931416262,18.23907887531389]}"
0_00000000000000000052,168,4.086496502161026,2020-01-08,1.0,2020-01-01,2020,P083,"{""type"":""Point"",""coordinates"":[77.19996171000103,18.369289085175563]}"
0_00000000000000000053,168,3.839085042476654,2020-01-08,1.0,2020-01-01,2020,P084,"{""type"":""Point"",""coordinates"":[76.82249880582684,18.46362582706226]}"
0_00000000000000000054,168,3.433631755411625,2020-01-08,1.0,2020-01-01,2020,P085,"{""type"":""Point"",""coordinates"":[76.77194597718393,18.14788579966987]}"
0_00000000000000000079,168,0.0,2020-01-08,1.0,2020-01-01,2020,P122,"{""type"":""Point"",""coordinates"":[73.8441448165019,17.88145897082753]}"
0_0000000000000000007a,168,0.0,2020-01-08,1.0,2020-01-01,2020,P123,"{""type"":""Point"",""coordinates"":[74.27088970551878,17.386414030975025]}"
0_0000000000000000007b,168,0.0,2020-01-08,1.0,2020-01-01,2020,P124,"{""type"":""Point"",""coordinates"":[74.647353771057,17.43262815429294]}"
0_0000000000000000007c,168,0.0,2020-01-08,1.0,2020-01-01,2020,P125,"{""type"":""Point"",""coordinates"":[74.31728219287884,17.56734651531964]}"
0_0000000000000000007d,168,0.0,2020-01-08,1.0,2020-01-01,2020,P126,"{""type"":""Point"",""coordinates"":[74.13053949986157,17.205080227535593]}"
0_0000000000000000007e,168,0.0,2020-01-08,1.0,2020-01-01,2020,P127,"{""type"":""Point"",""coordinates"":[74.31694330119876,17.65773249367299]}"
0_0000000000000000007f,168,0.0,2020-01-08,1.0,2020-01-01,2020,P128,"{""type"":""Point"",""coordinates"":[74.5517328080669,18.019949731345452]}"
0_00000000000000000080,168,0.0,2020-01-08,1.0,2020-01-01,2020,P129,"{""type"":""Point"",""coordinates"":[74.03192648006461,18.063234225271252]}"
0_00000000000000000081,168,0.0,2020-01-08,1.0,2020-01-01,2020,P130,"{""type"":""Point"",""coordinates"":[74.03436560834085,17.61135784271715]}"
0_00000000000000000082,168,0.0,2020-01-08,1.0,2020-01-01,2020,P131,"{""type"":""Point"",""coordinates"":[74.3171127470388,17.612539504496315]}"
0_00000000000000000083,168,0.0,2020-01-08,1.0,2020-01-01,2020,P132,"{""type"":""Point"",""coordinates"":[74.12817617630324,17.702176353872684]}"
0_00000000000000000084,168,0.0,2020-01-08,1.0,2020-01-01,2020,P133,"{""type"":""Point"",""coordinates"":[74.08329532420031,17.25006363896275]}"
0_00000000000000000085,168,0.0,2020-01-08,1.0,2020-01-01,2020,P134,"{""type"":""Point"",""coordinates"":[74.17634784498362,17.476429903940936]}"
0_00000000000000000086,168,0.0,2020-01-08,1.0,2020-01-01,2020,P135,"{""type"":""Point"",""coordinates"":[74.0801070669471,17.882716437324603]}"
0_00000000000000000087,168,0.0,2020-01-08,1.0,2020-01-01,2020,P136,"{""type"":""Point"",""coordinates"":[74.22149178404871,17.928520323345598]}"
0_00000000000000000088,168,0.0,2020-01-08,1.0,2020-01-01,2020,P137,"{""type"":""Point"",""coordinates"":[73.98648378122894,17.746687100588183]}"
0_00000000000000000089,168,0.0,2020-01-08,1.0,2020-01-01,2020,P138,"{""type"":""Point"",""coordinates"":[74.36423652697161,17.61269557303319]}"
0_0000000000000000008a,168,0.0,2020-01-08,1.0,2020-01-01,2020,P139,"{""type"":""Point"",""coordinates"":[74.08126197411994,17.656773786946495]}"
0_0000000000000000008b,168,0.0,2020-01-08,1.0,2020-01-01,2020,P140,"{""type"":""Point"",""coordinates"":[74.50462240543725,17.97464080554139]}"
0_0000000000000000008c,168,0.0,2020-01-08,1.0,2020-01-01,2020,P141,"{""type"":""Point"",""coordinates"":[74.08239904488856,17.430826677467348]}"
0_0000000000000000008d,168,0.0,2020-01-08,1.0,2020-01-01,2020,P142,"{""type"":""Point"",""coordinates"":[74.31538707493111,18.064447100757786]}"
