point_id,Year,Week_Number,Week_Start,Week_End,Rainfall_GSMaP,GSMaP_Image_Count
P001,2018,41,2018-10-08,2018-10-15,0.0,168
P001,2018,42,2018-10-15,2018-10-22,0.0,168
P001,2018,43,2018-10-22,2018-10-29,0.0,168
P001,2018,44,2018-10-29,2018-11-05,3.102989763021469,168
P001,2018,45,2018-11-05,2018-11-12,0.0,168
P001,2018,46,2018-11-12,2018-11-19,0.0,168
P001,2018,47,2018-11-19,2018-11-26,0.0,168
P001,2018,48,2018-11-26,2018-12-03,0.0,168
P001,2018,49,2018-12-03,2018-12-10,0.0,168
P001,2018,50,2018-12-10,2018-12-17,0.0,168
P001,2018,51,2018-12-17,2018-12-24,0.0,168
P001,2018,52,2018-12-24,2018-12-31,0.0,168
P001,2019,1,2019-01-01,2019-01-08,0.0,168
P001,2019,2,2019-01-08,2019-01-15,0.0,168
P001,2019,3,2019-01-15,2019-01-22,0.0,168
P001,2019,4,2019-01-22,2019-01-29,0.0,168
P001,2019,5,2019-01-29,2019-02-05,0.0,168
P001,2019,6,2019-02-05,2019-02-12,0.0,168
P001,2019,7,2019-02-12,2019-02-19,0.0,168
P001,2019,8,2019-02-19,2019-02-26,0.0,168
P001,2019,9,2019-02-26,2019-03-05,0.0,168
P001,2019,10,2019-03-05,2019-03-12,0.0,168
P001,2019,11,2019-03-12,2019-03-19,0.0,168
P001,2019,12,2019-03-19,2019-03-26,0.0,168
P001,2019,13,2019-03-26,2019-04-02,0.0,168
P001,2019,14,2019-04-02,2019-04-09,0.0,168
P001,2019,15,2019-04-09,2019-04-16,5.140612334012985,168
P001,2019,16,2019-04-16,2019-04-23,0.0,168
P001,2019,17,2019-04-23,2019-04-30,0.0,168
P001,2019,18,2019-04-30,2019-05-07,0.0,168
P001,2019,19,2019-05-07,2019-05-14,0.0,168
P001,2019,20,2019-05-14,2019-05-21,0.0,168
P001,2019,21,2019-05-21,2019-05-28,0.0,168
P001,2019,22,2019-05-28,2019-06-04,0.0,168
P001,2019,23,2019-06-04,2019-06-11,13.492095597088335,168
P001,2019,24,2019-06-11,2019-06-18,0.0,168
P001,2019,25,2019-06-18,2019-06-25,19.402774438261982,168
P001,2019,26,2019-06-25,2019-07-02,43.718419417738914,168
P001,2019,27,2019-07-02,2019-07-09,36.074093379080296,168
P001,2019,28,2019-07-09,2019-07-16,11.956364259123802,168
P001,2019,29,2019-07-16,2019-07-23,36.91479390114546,168
P001,2019,30,2019-07-23,2019-07-30,39.206844195723534,168
P001,2019,31,2019-07-30,2019-08-06,69.6724104732275,168
P001,2019,32,2019-08-06,2019-08-13,22.319472037255764,168
P001,2019,33,2019-08-13,2019-08-20,0.0,168
P001,2019,34,2019-08-20,2019-08-27,13.615514606237411,168
P001,2019,35,2019-08-27,2019-09-03,31.78276165574789,168
P001,2019,36,2019-09-03,2019-09-10,30.37697321176529,168
P001,2019,37,2019-09-10,2019-09-17,26.198972903192043,168
P001,2019,38,2019-09-17,2019-09-24,78.83230844885111,168
P001,2019,39,2019-09-24,2019-10-01,45.768906861543655,168
P001,2019,40,2019-10-01,2019-10-08,28.914468094706532,168
P001,2019,41,2019-10-08,2019-10-15,1.8415863066911695,168
P001,2019,42,2019-10-15,2019-10-22,29.412471808493137,168
P001,2019,43,2019-10-22,2019-10-29,58.82346425205469,168
P001,2019,44,2019-10-29,2019-11-05,31.173542492091656,168
P001,2019,45,2019-11-05,2019-11-12,0.0,168
P001,2019,46,2019-11-12,2019-11-19,0.0,168
P001,2019,47,2019-11-19,2019-11-26,0.0,168
P001,2019,48,2019-11-26,2019-12-03,0.0,168
P001,2019,49,2019-12-03,2019-12-10,0.0,168
P001,2019,50,2019-12-10,2019-12-17,0.0,168
P001,2019,51,2019-12-17,2019-12-24,0.0,168
P001,2019,52,2019-12-24,2019-12-31,0.0,168
P001,2020,1,2020-01-01,2020-01-08,0.0,168
P001,2020,2,2020-01-08,2020-01-15,0.0,168
P001,2020,3,2020-01-15,2020-01-22,0.0,168
P001,2020,4,2020-01-22,2020-01-29,0.0,168
P001,2020,5,2020-01-29,2020-02-05,0.0,168
P001,2020,6,2020-02-05,2020-02-12,0.0,168
P001,2020,7,2020-02-12,2020-02-19,0.0,168
P001,2020,8,2020-02-19,2020-02-26,0.0,168
P001,2020,9,2020-02-26,2020-03-04,0.0,168
P001,2020,10,2020-03-04,2020-03-11,0.0,168
P001,2020,11,2020-03-11,2020-03-18,0.0,168
P001,2020,12,2020-03-18,2020-03-25,0.0,168
P001,2020,13,2020-03-25,2020-04-01,20.805293768644333,168
P001,2020,14,2020-04-01,2020-04-08,0.0,168
P001,2020,15,2020-04-08,2020-04-15,0.0,168
P001,2020,16,2020-04-15,2020-04-22,0.0,168
P001,2020,17,2020-04-22,2020-04-29,0.0,168
P001,2020,18,2020-04-29,2020-05-06,0.120736725628376,168
P001,2020,19,2020-05-06,2020-05-13,0.3004931211471557,168
P001,2020,20,2020-05-13,2020-05-20,2.6025911197066307,168
P001,2020,21,2020-05-20,2020-05-27,0.0,168
P001,2020,22,2020-05-27,2020-06-03,12.381584957242012,168
P001,2020,23,2020-06-03,2020-06-10,44.59329733252525,168
P001,2020,24,2020-06-10,2020-06-17,107.60085055232048,168
P001,2020,25,2020-06-17,2020-06-24,15.852006822824478,168
P001,2020,26,2020-06-24,2020-07-01,59.47381463646889,168
P001,2020,27,2020-07-01,2020-07-08,13.691769808530807,168
P001,2020,28,2020-07-08,2020-07-15,32.45965364575386,168
P001,2020,29,2020-07-15,2020-07-22,15.850731924176216,168
P001,2020,30,2020-07-22,2020-07-29,85.61037743836641,168
P001,2020,31,2020-07-29,2020-08-05,60.72891628742218,168
P001,2020,32,2020-08-05,2020-08-12,29.51245428621769,168
P001,2020,33,2020-08-12,2020-08-19,64.15167980641127,168
P001,2020,34,2020-08-19,2020-08-26,22.698075734078884,168
P001,2020,35,2020-08-26,2020-09-02,17.510202668607235,168
P001,2020,36,2020-09-02,2020-09-09,87.5435768738389,168
P001,2020,37,2020-09-09,2020-09-16,31.136678710579872,168
P001,2020,38,2020-09-16,2020-09-23,91.99443398416042,168
P001,2020,39,2020-09-23,2020-09-30,30.61860017478466,168
P001,2020,40,2020-09-30,2020-10-07,3.62883822619915,168
P001,2020,41,2020-10-07,2020-10-14,33.08110485225916,168
P001,2020,42,2020-10-14,2020-10-21,37.01667541265488,168
P001,2020,43,2020-10-21,2020-10-28,69.02787244319916,168
P001,2020,44,2020-10-28,2020-11-04,0.0,168
P001,2020,45,2020-11-04,2020-11-11,0.0,168
P001,2020,46,2020-11-11,2020-11-18,0.0,168
P001,2020,47,2020-11-18,2020-11-25,1.5414978042244911,168
P001,2020,48,2020-11-25,2020-12-02,0.0,168
P001,2020,49,2020-12-02,2020-12-09,0.0,168
P001,2020,50,2020-12-09,2020-12-16,2.1782886683940887,168
P001,2020,51,2020-12-16,2020-12-23,0.0,168
P001,2020,52,2020-12-23,2020-12-30,0.0,168
P001,2021,1,2021-01-01,2021-01-08,2.1528693437576294,168
