Model,Train_MAE,Train_RMSE,Train_R2,Val_MAE,Val_RMSE,Val_R2,Test_MAE,Test_RMSE,Test_R2
Persistence,0.02580221647040293,0.04341525277694503,0.755785440812822,0.020830553379293404,0.029884338387148043,0.8890800232688741,0.013967657436257925,0.02031293629975484,0.9419633005234826
LinearRegression,0.023538219356514904,0.03242839402076598,0.8637496062389667,0.02854037318378307,0.03568138282358231,0.8418730722658255,0.03691328483352251,0.04647235587023999,0.6962287477789121
RandomForest,0.010524524332495965,0.017914455207194355,0.9584190799667237,0.026364403640229135,0.03323381606337709,0.8628224939878961,0.016433929909812604,0.019964334055911834,0.9439382113993647
XGBoost,0.0004456644367152842,0.0006345407673694182,0.9999478317891568,0.029597106189253212,0.03832362960809014,0.8175870162148017,0.02300376710168891,0.027413909635811605,0.894294095459524
