point_id,latitude,longitude,cropland_percentage,cropland_threshold_percent,district,sampling_priority,region_type,grid_spacing_m,sampling_method,case_anchor_lat,case_anchor_lon,case_search_radius_m
P052,20.84443888079404,75.23982004099587,96.75082844009967,50,Jalgaon,normal,statewide,10000,agricultural_grid_sampling,,,
P053,19.4863682308192,76.00005244216331,56.013930383310964,50,Jalna,normal,statewide,10000,agricultural_grid_sampling,,,
P054,20.028500951051928,76.00343713743855,77.59706453865688,50,Jalna,normal,statewide,10000,agricultural_grid_sampling,,,
P055,19.75743876049047,76.0017307857574,86.28110799178269,50,Jalna,normal,statewide,10000,agricultural_grid_sampling,,,
P056,19.57768284625986,75.80994170504381,57.561802338615166,50,Jalna,normal,statewide,10000,agricultural_grid_sampling,,,
P057,16.776378898726694,74.29671238948691,69.47474842398007,50,Kolhapur,normal,statewide,10000,agricultural_grid_sampling,,,
P058,16.32441594312123,74.29834904236628,53.44537599204614,50,Kolhapur,normal,statewide,10000,agricultural_grid_sampling,,,
P059,16.595891585276657,74.39111512208495,56.881503456139704,50,Kolhapur,normal,statewide,10000,agricultural_grid_sampling,,,
P060,16.414810107926883,74.29802579292624,65.2092093793713,50,Kolhapur,normal,statewide,10000,agricultural_grid_sampling,,,
P061,18.507856195988794,76.91766150117878,68.31739848032561,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P062,18.42240733096449,76.34875951203142,91.27658431506977,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P063,18.235389972146614,77.05646593092125,97.12076302214521,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P064,18.193054654779118,76.77240087437879,92.37861840750567,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P065,18.3313574066324,76.44266953714255,98.44231495045095,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P066,18.10473904318114,76.53529573488291,99.49597708522907,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P067,18.280552688555268,77.0569977719007,99.59238092110944,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P068,18.10182178118835,76.86595913358097,97.76327781756312,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P069,18.595077104748384,77.2028433593965,98.09169152632396,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P070,18.414990253737063,77.15322456154995,74.26158972055003,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P071,18.14913758021374,76.63019555341555,97.96407557340663,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P072,18.28339531825639,76.77331673398585,92.83509611680948,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P073,17.96631489517353,76.86453107353908,84.05049903441746,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P074,18.508330314740576,76.87031898541534,56.09810035526973,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P075,18.41444799953777,77.20053313424823,75.92283973520473,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P076,18.377875630536366,76.25376684114009,92.83217646666793,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P077,18.05956253680126,76.5349028314077,91.2979900384302,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P078,18.10088423096409,76.96042233853383,93.22743147658237,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P079,18.73508509851779,76.77797630952156,89.89455909016093,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P080,18.46791697073923,76.3017674870198,99.64040191847897,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P081,18.10355816947669,76.67701623054641,89.20897124336106,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P082,18.239076926736722,76.67831117252015,75.83620977236866,50,Latur,high,priority,5000,priority_agricultural_grid,,,
P083,18.36929014280681,77.19995973025816,78.01436422566387,50,Latur,high,priority,5000,priority_agricultural_grid,,,
