Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,NDVI,Rainfall_mm,Temperature_C,NDVI_lag_1,Rainfall_mm_lag_1,Rainfall_mm_lag_2,Rainfall_mm_lag_3,Temperature_C_lag_1,Temperature_C_lag_2,Temperature_C_lag_3,Rainfall_mm_rolling_3w,Rainfall_mm_rolling_4w,Temperature_C_rolling_3w,Temperature_C_rolling_4w,Month,Quarter,Week_of_Year,Monsoon_Season,Week_Sin,Week_Cos,NDVI_next_week
2021-01-22,2021-01-29,4.0,2021,P001,19.940457800458272,74.57045211428928,Ahmednagar,normal,statewide,0.3538461625576019,0.0,22.37067030043829,0.3122172057628631,0.0,0.0,0.0,24.04551231747581,23.393146042596697,23.11229422433036,0.0,0.0,23.269776220170268,23.23040572121029,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.3647944629192352
2021-01-22,2021-01-29,4.0,2021,P002,18.946729294293643,74.76302285238339,Ahmednagar,normal,statewide,0.2411179840564727,0.0,24.65161803109305,0.268887847661972,0.0,0.0,0.0,25.79751194545201,24.26952950613844,23.41349400111608,0.0,0.0,24.90621982756117,24.533038370949896,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.2297455817461013
2021-01-22,2021-01-29,4.0,2021,P003,18.49469238410162,74.66892244285252,Ahmednagar,normal,statewide,-0.2642140388488769,0.0,25.173183786301365,0.1103789135813713,0.0,0.0,0.0,26.155968511672256,24.81597435360868,23.699464053199392,0.0,0.0,25.381708883860767,24.961147676195424,1,1,4.0,0,0.4647231720437685,0.8854560256532099,-0.0796478763222694
2021-01-22,2021-01-29,4.0,2021,P004,19.03720445466806,75.1420731965326,Ahmednagar,normal,statewide,0.2065834254026413,0.0,23.565843291509736,0.2211483865976333,0.0,0.0,0.0,24.79087364560087,23.472956775483624,22.73589913504469,0.0,0.0,23.943224570864743,23.64139321190973,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.1736233532428741
2021-01-22,2021-01-29,4.0,2021,P005,20.83215315631795,77.06560453615967,Akola,normal,statewide,0.2788998782634735,4.10308313369751,23.34421010698594,0.4417473077774048,0.0,0.0,2.9896600246429443,24.179243251255627,23.197345261346697,23.07427804129469,1.36769437789917,1.7731857895851135,23.573599539862755,23.44876916522074,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.2124163061380386
2021-01-22,2021-01-29,4.0,2021,P006,20.834360411339407,76.87349308547405,Akola,normal,statewide,0.4105882346630096,4.105851650238037,23.258191226777623,0.4412331879138946,0.0,3.131655693054199,0.0,24.28351454961876,23.195054989769403,23.097855050223245,2.4125024477640786,1.809376835823059,23.578920255388596,23.458653954097258,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.3329640030860901
2021-01-22,2021-01-29,4.0,2021,P007,21.014976299509232,76.87574047240498,Akola,normal,statewide,0.2776735424995422,4.014029026031494,23.04790476844431,0.3457362055778503,2.455167770385742,0.0,0.0,24.178940981910387,23.016925339471697,23.044202241443543,2.1563989321390786,1.617299199104309,23.414590363275465,23.321993332817485,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.2827988266944885
2021-01-22,2021-01-29,4.0,2021,P008,20.828434266039377,77.35372489162701,Akola,normal,statewide,0.3947120010852813,4.520246982574463,23.51965421040859,0.6216111183166504,0.0,0.0,3.0009002685546875,24.05020911807111,23.28995593843007,22.8836390904018,1.5067489941914876,1.8802868127822876,23.61993975563659,23.435864589327892,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.3071593642234802
2021-01-22,2021-01-29,4.0,2021,P009,21.36097132754925,77.94039543992572,Amravati,normal,statewide,0.1880102306604385,7.231926918029785,22.44250577290853,0.1922249943017959,0.0,3.328644037246704,0.0,22.82563462030322,22.392134602864587,21.587787155878004,3.5201903184254966,2.6401427388191223,22.553424998692112,22.312015537988586,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.1969251185655594
2021-01-22,2021-01-29,4.0,2021,P010,21.17880367221284,78.03301542790685,Amravati,normal,statewide,0.2442497313022613,6.882347583770752,22.983381888979977,0.2627286911010742,4.523662090301514,0.0,0.0,23.01927301316033,22.79914027622772,21.98479468936017,3.8020032246907554,2.8515024185180664,22.933931726122676,22.69664746693205,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.2581857144832611
2021-01-22,2021-01-29,4.0,2021,P011,20.81438809772101,78.21764450702477,Amravati,normal,statewide,0.4332344233989715,5.960781574249268,23.862811297462088,0.4745945334434509,0.0,5.575422286987305,0.0,23.78980407714846,23.92934860956097,23.00250069754469,3.8454012870788574,2.884050965309143,23.86065466139051,23.646116170429053,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.4219600856304168
2021-01-22,2021-01-29,4.0,2021,P012,21.180502589714195,77.93681032267875,Amravati,normal,statewide,0.1191778257489204,6.662455558776856,23.18955283392046,0.1151230037212371,4.545692920684815,0.0,0.0,23.31284630185081,23.095387486049106,22.23913109188988,3.7360494931538906,2.802037119865418,23.19926220727346,22.959229428427562,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.1551918685436248
2021-01-22,2021-01-29,4.0,2021,P013,20.031289688916964,74.8570519162974,Aurangabad,normal,statewide,0.653401792049408,0.0,22.58325865609305,0.5847917795181274,0.0,0.0,0.0,24.292443121047256,23.207331775483624,23.102121698288727,0.0,0.0,23.361011184207978,23.296288812728164,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.6026500463485718
2021-01-22,2021-01-29,4.0,2021,P014,19.76018526306956,75.14270192978114,Aurangabad,normal,statewide,0.2427184432744979,0.0,23.21947749909907,0.255930095911026,0.0,0.0,0.0,24.813660103934183,23.583424595424106,23.13546433221728,0.0,0.0,23.872187399485785,23.68800663266866,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.2333903908729553
2021-01-22,2021-01-29,4.0,2021,P015,19.9408189876436,74.76157364454102,Aurangabad,normal,statewide,0.2636363506317138,0.0,22.69388923645021,0.3171750903129577,0.0,0.0,0.0,24.41814066569009,23.43224341982892,23.23162086123517,0.0,0.0,23.514757773989743,23.4439735458011,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.241197720170021
2021-01-22,2021-01-29,4.0,2021,P016,19.66981712112043,75.14262166596218,Aurangabad,normal,statewide,0.4634146392345428,0.0,23.35919569106329,0.3438685238361358,0.0,0.0,0.0,24.908909824916293,23.524249558221754,23.232911318824392,0.0,0.0,23.93078502473378,23.756316598256433,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.5218915939331055
2021-01-22,2021-01-29,4.0,2021,P017,21.04613203856966,79.85576216552393,Bhandara,normal,statewide,0.3209967911243438,0.0,23.10568471636094,0.3153488337993622,0.0,4.119632244110107,3.254692554473877,22.45107639857701,23.150853910900366,22.526019577752947,1.3732107480367024,1.843581199645996,22.90253834194611,22.808408650897817,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.2622789740562439
2021-01-22,2021-01-29,4.0,2021,P018,21.31897105472685,79.76852877161537,Bhandara,normal,statewide,0.6359473466873169,0.0,22.96923335847401,0.5867668986320496,0.0,2.6467747688293457,2.862642288208008,22.206598626999664,23.099654134114587,22.55044526599709,0.8822582562764486,1.3773542642593384,22.758495373196087,22.706482846396337,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.7220321297645569
2021-01-22,2021-01-29,4.0,2021,P019,21.40900922319803,79.77144948280537,Bhandara,normal,statewide,0.2633754312992096,0.0,22.62634366353359,0.304871916770935,0.0,3.292158842086792,3.4342293739318848,21.938206699916293,22.855757649739644,22.36595633370536,1.0973862806955974,1.6815970540046692,22.473436004396508,22.44656608672372,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.2628218829631805
2021-01-22,2021-01-29,4.0,2021,P020,21.14419658893704,79.57074980349083,Bhandara,normal,statewide,0.617544949054718,0.0,23.02218862261094,0.6351515054702759,0.0,3.57672381401062,3.4444522857666016,22.54019935244611,23.23359433128718,22.51211518787209,1.1922412713368733,1.7552940249443054,22.931994102114743,22.82702437355408,1,1,4.0,0,0.4647231720437685,0.8854560256532099,0.6695438027381897
