Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,NDVI,NDVI_Valid,Sentinel2_Images,Cloud_Probability_Threshold,Scene_Cloud_Threshold,Rainfall_mm,Rainfall_Valid,CHIRPS_Days,rainfall_source,Temperature_C,Temperature_Valid,ERA5_Days,temperature_source,study_area,dataset
2021-01-01,2021-01-08,1.0,2021,P020,21.14419658893704,79.57074980349083,Bhandara,normal,statewide,0.3545595109462738,1.0,71.0,65.0,80.0,3.4444522857666016,1,7,CHIRPS Daily v2.0,22.51211518787209,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P021,18.67502288980403,75.52108340877234,Bid,normal,statewide,,,,,,3.098052501678467,1,7,CHIRPS Daily v2.0,22.536261858258968,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P022,18.856499384477168,75.04699178476999,Bid,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,23.2576625279018,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P023,19.12659605348649,75.6175605191647,Bid,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,22.79122605096728,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P024,18.763955201213943,75.90084720909012,Bid,normal,statewide,0.2764616310596466,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.221459960937523,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P025,20.93073496240753,76.20164478885242,Buldana,normal,statewide,0.2045303136110305,1.0,71.0,65.0,80.0,2.464167594909668,1,7,CHIRPS Daily v2.0,23.195825195312523,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P026,20.838939908121297,76.39311412898633,Buldana,normal,statewide,0.0888888910412788,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,23.49324660528282,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P027,20.65747679075131,76.48742857536776,Buldana,normal,statewide,0.1708425283432006,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,23.346924990699392,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P028,20.47967013624516,76.10222021266374,Buldana,normal,statewide,0.6441410779953003,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.69041922433036,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P029,20.32317798477448,79.92829390325927,Chandrapur,normal,statewide,0.4693877696990967,1.0,71.0,65.0,80.0,2.328080654144287,1,7,CHIRPS Daily v2.0,23.298713030133968,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P030,20.60872097983294,79.36304041732026,Chandrapur,normal,statewide,0.2739602029323578,1.0,71.0,65.0,80.0,5.176770210266113,1,7,CHIRPS Daily v2.0,22.8406703404018,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P031,20.511160307884595,79.64732594588165,Chandrapur,normal,statewide,0.3097142875194549,1.0,71.0,65.0,80.0,5.847454071044922,1,7,CHIRPS Daily v2.0,23.09612281436017,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P032,20.598621115946884,79.74569817422172,Chandrapur,normal,statewide,0.4910394251346588,1.0,71.0,65.0,80.0,5.545733213424683,1,7,CHIRPS Daily v2.0,23.110631742931616,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
