Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,NDVI,NDVI_Valid,Sentinel2_Images,Cloud_Probability_Threshold,Scene_Cloud_Threshold,Rainfall_mm,Rainfall_Valid,CHIRPS_Days,rainfall_source,Temperature_C,Temperature_Valid,ERA5_Days,temperature_source,study_area,dataset
2017-01-01,2017-01-08,1.0,2017,P001,19.940458,74.570452,Ahmednagar,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,19.68054796854659,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2017-01-01,2017-01-08,1.0,2017,P002,18.946729,74.763023,Ahmednagar,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,21.50301123119533,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2017-01-01,2017-01-08,1.0,2017,P003,18.494692,74.668922,Ahmednagar,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,21.81781312851677,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2017-01-01,2017-01-08,1.0,2017,P004,19.037204,75.142073,Ahmednagar,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,20.238467425391832,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2017-01-01,2017-01-08,1.0,2017,P005,20.832153,77.065605,Akola,normal,statewide,0.790742814540863,1.0,30.0,65.0,80.0,3.2371954917907715,1,7,CHIRPS Daily v2.0,19.90623853774298,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2017-01-01,2017-01-08,1.0,2017,P006,20.83436,76.873493,Akola,normal,statewide,0.3555675148963928,1.0,30.0,65.0,80.0,2.754099607467652,1,7,CHIRPS Daily v2.0,19.73863018580846,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2017-01-01,2017-01-08,1.0,2017,P007,21.014976,76.87574,Akola,normal,statewide,0.7241111397743225,1.0,30.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,20.126092983427554,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2017-01-01,2017-01-08,1.0,2017,P008,20.828434,77.353725,Akola,normal,statewide,0.3774738609790802,1.0,30.0,65.0,80.0,2.7410600185394287,1,7,CHIRPS Daily v2.0,20.109154274350143,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2017-01-01,2017-01-08,1.0,2017,P009,21.360971,77.940395,Amravati,normal,statewide,0.3598311841487884,1.0,30.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,20.05608275277274,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2017-01-01,2017-01-08,1.0,2017,P010,21.178804,78.033015,Amravati,normal,statewide,0.2641236186027527,1.0,30.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,20.17454908461804,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2017-01-01,2017-01-08,1.0,2017,P011,20.814388,78.217645,Amravati,normal,statewide,0.5114782452583313,1.0,30.0,65.0,80.0,4.116341590881348,1,7,CHIRPS Daily v2.0,20.71680866423111,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2017-01-01,2017-01-08,1.0,2017,P012,21.180503,77.93681,Amravati,normal,statewide,0.1732090264558792,1.0,30.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,20.24207140604659,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2017-01-01,2017-01-08,1.0,2017,P013,20.03129,74.857052,Aurangabad,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,20.017717797415628,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2017-01-01,2017-01-08,1.0,2017,P014,19.760185,75.142702,Aurangabad,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,20.501825405302554,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2017-01-01,2017-01-08,1.0,2017,P015,19.940819,74.761574,Aurangabad,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,19.91212116423111,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2017-01-01,2017-01-08,1.0,2017,P016,19.669817,75.142622,Aurangabad,normal,statewide,,,,,,0.0,1,7,CHIRPS Daily v2.0,20.561046945481053,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
