Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,NDVI,NDVI_Valid,Sentinel2_Images,Cloud_Probability_Threshold,Scene_Cloud_Threshold,study_area,dataset
2021-07-02,2021-07-09,27.0,2021,P061,18.507855650411397,76.91766048140843,Latur,high,priority,0.4409387409687042,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P062,18.422405896924207,76.3487594508077,Latur,high,priority,0.39436620473861694,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P063,18.235391198742693,77.05646783810116,Latur,high,priority,0.4284663498401642,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P064,18.193056493341274,76.77240080549139,Latur,high,priority,0.2783661186695099,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P065,18.331355512513895,76.44266811899327,Latur,high,priority,0.5867860913276672,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P066,18.104739537876725,76.5352970251765,Latur,high,priority,0.1177094355225563,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P067,18.280552974211986,77.0569984711265,Latur,high,priority,0.40045079588890076,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P068,18.101823285787773,76.86595720469373,Latur,high,priority,0.23720136284828186,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P071,18.149138807065885,76.63019561379593,Latur,high,priority,0.2719298303127289,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P074,18.50832831512306,76.870318205524,Latur,high,priority,0.2889561355113983,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P076,18.377877313804504,76.25376722106614,Latur,high,priority,0.2990615963935852,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P077,18.059564385104267,76.5349046242838,Latur,high,priority,0.14594604074954987,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P078,18.1008824154655,76.96042326051098,Latur,high,priority,0.49949589371681213,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P079,18.73508698099394,76.77797468180819,Latur,high,priority,0.3380471467971802,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P080,18.46791548227568,76.3017694439065,Latur,high,priority,0.40339425206184387,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P081,18.10355787609756,76.67701617485712,Latur,high,priority,0.3629366457462311,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P082,18.23907887531389,76.67830931416262,Latur,high,priority,0.3568985164165497,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P084,18.46362582706226,76.82249880582684,Latur,high,priority,0.1433146446943283,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P085,18.14788579966987,76.77194597718393,Latur,high,priority,0.6193548440933228,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P122,17.88145897082753,73.8441448165019,Satara,high,priority,0.3181818127632141,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P126,17.205080227535593,74.13053949986157,Satara,high,priority,0.7051299214363098,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P127,17.65773249367299,74.31694330119876,Satara,high,priority,0.29381442070007324,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P131,17.612539504496315,74.3171127470388,Satara,high,priority,0.6616725921630859,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P134,17.476429903940936,74.17634784498362,Satara,high,priority,0.3053745925426483,1,63,65,80,Maharashtra,Sentinel-2 NDVI
2021-07-02,2021-07-09,27.0,2021,P138,17.61269557303319,74.36423652697161,Satara,high,priority,0.16852539777755737,1,63,65,80,Maharashtra,Sentinel-2 NDVI
