Week_Start,Week_End,Week_Number,Year,point_id,CHIRPS_mm,GSMaP_mm
2026-06-18,2026-06-25,25,2026,P061,21.297733783721924,9.499836385250092
2026-06-25,2026-07-02,26,2026,P061,52.94959592819214,37.96813999116421
2026-07-02,2026-07-09,27,2026,P061,10.774079322814941,7.448133714497089
2026-07-09,2026-07-16,28,2026,P061,8.283425331115723,0.5244323760271072
2026-07-16,2026-07-23,29,2026,P061,73.10873031616211,70.60514286905527
2026-07-23,2026-07-30,30,2026,P061,81.25275611877441,34.72027100622654
2026-07-30,2026-08-01,31,2026,P061,81.25275611877441,50.19125854969025
2026-06-18,2026-06-25,25,2026,P062,19.90848159790039,2.9725123792886734
2026-06-25,2026-07-02,26,2026,P062,41.99188423156738,40.47968916594982
2026-07-02,2026-07-09,27,2026,P062,9.553662300109863,2.201223611831665
2026-07-09,2026-07-16,28,2026,P062,0.0,4.301975280046463
2026-07-16,2026-07-23,29,2026,P062,58.171387672424316,48.76579895615578
2026-07-23,2026-07-30,30,2026,P062,47.44680404663086,11.493676044046879
2026-07-30,2026-08-01,31,2026,P062,86.98580551147461,24.500307649374008
2026-06-18,2026-06-25,25,2026,P063,35.079834938049316,9.73393102735281
2026-06-25,2026-07-02,26,2026,P063,61.628928899765015,37.593829572200775
2026-07-02,2026-07-09,27,2026,P063,3.7721173763275146,12.285294838249683
2026-07-09,2026-07-16,28,2026,P063,0.0,0.5639657825231552
2026-07-16,2026-07-23,29,2026,P063,55.96103382110596,82.91790942847729
2026-07-23,2026-07-30,30,2026,P063,75.12517547607422,43.47792012989521
2026-07-30,2026-08-01,31,2026,P063,68.29561233520508,29.51206048578024
2026-06-18,2026-06-25,25,2026,P064,18.32209014892578,3.8690282851457596
2026-06-25,2026-07-02,26,2026,P064,44.84732723236084,37.96556754410267
2026-07-02,2026-07-09,27,2026,P064,0.0,12.324095211923122
2026-07-09,2026-07-16,28,2026,P064,0.0,2.7723682895302773
2026-07-16,2026-07-23,29,2026,P064,64.84466361999512,66.59579915553331
