point_id,Records,Correlation,MAE_mm,RMSE_mm,Bias_mm
P061,7,0.8761689444161851,16.851694575377874,22.58714882080897,-16.851694575377874
P062,7,0.6378947912675682,19.70668469050101,28.403241989527555,-18.47754889620202
P063,7,0.6599768646056081,22.263689897954464,25.425743141696675,-11.968255940292563
P064,7,0.7177322107018214,17.442362547985145,24.13226369556674,-12.628762823130403
P065,7,0.6658983728766357,16.296074295682565,24.13798463407814,-14.750176586210728
P066,7,0.5863633618559059,17.05410300195217,26.3893593153339,-13.091403456670898
P067,7,0.5669242727211721,22.04466636372464,26.840779856895672,-10.474028905587536
P068,7,0.6593873294398446,17.36563876271248,22.93650427058349,-11.21716997878892
P069,7,0.9148686576605582,12.407490862267357,16.682494680304977,-10.037021000470434
P070,7,0.7598300952105924,17.13698617901121,21.78654460394448,-9.975127088172096
P071,7,0.6740677557570646,16.128283543246134,24.450034722725853,-13.11275102198124
P072,7,0.6462795759450906,17.385195093495504,24.15561755979377,-12.407974643366677
P073,7,0.6467471997473054,18.98557553121022,24.363367373634574,-12.162606745958328
P074,7,0.8914715606010302,20.317953726010664,27.382847032405294,-20.17740157140153
P075,7,0.7381739116576914,17.306671983429364,22.3336016776455,-8.992773021970477
P076,7,0.5662187547204558,17.996485256722995,26.183781541837636,-15.02640860421317
P077,7,0.664461332847154,16.575355024210044,22.845526502373616,-13.382286487945489
P078,7,0.716989365690621,17.282478510269097,22.24566310351761,-10.310254736670426
P079,7,0.9315365130494632,24.3678510678666,31.7954910255779,-22.086961829236575
P080,7,0.6263254986284971,18.755389042198658,28.34336742013622,-17.526253247899668
P081,7,0.6602394477075332,18.127951051507676,23.318670592087162,-10.825663922088486
P082,7,0.7020437148567685,18.97408093937806,26.941069628484893,-14.872960154499326
P083,7,0.6531042012227964,19.980418359594687,24.504099301632802,-9.632599203714303
P084,7,0.7771164028622495,18.784409474049294,27.433388705556034,-18.639185303023883
P085,7,0.6829577905058579,17.127166374453477,21.694758128502816,-9.290753125080041
P147,7,0.9100737427562015,89.09814228862524,134.37415159706126,89.09814228862524
