Condition,Samples,Temperature_Min,Temperature_Max,MAE,RMSE,R2
Low_Temperature,2121,17.439014689127646,23.20219828287759,0.05316138904042142,0.07964686075974241,0.864212480679359
Normal_Temperature,4242,23.20572969345824,29.81272822788788,0.04394652110769195,0.07101333615118607,0.8865651390896886
High_Temperature,2121,29.81338144938149,37.09497440883092,0.03150135179016446,0.04952817151764078,0.8971855233002752
