Error_Band,Samples,Percentage
0-0.025,4114,48.49127769919849
0.025-0.05,1950,22.984441301272984
0.05-0.075,1015,11.963696369636963
0.075-0.10,564,6.647807637906649
>0.10,841,9.912776991984913
