Condition,Samples,Rainfall_Min,Rainfall_Max,MAE,RMSE,R2
Low_Rainfall,5415,0.0,0.0,0.041957483682646506,0.06652040102791902,0.896936545819074
Normal_Rainfall,948,1.6807712199806701e-07,2.6014469265937805,0.04070714403233031,0.0663773839245463,0.9065526630664089
High_Rainfall,2121,2.604000374674797,219.98424863815308,0.047242182534805235,0.0749403360172647,0.8896404868804506
