Location,Samples,MAE,RMSE,R2
Latur,1119,0.04016057602179017,0.06229206019355228,0.8934840149781821
Kavathe-Khanapur,49,0.05551999808514699,0.07278478682069722,0.8207391829491197
Satara,1306,0.04742167728909706,0.0692165382119592,0.8825498039044238
